Zspace_cvAUC_train,Zspace_cvAUC_valid,num_clusters,spaceD_Redx
0.801615675991,0.811987522282,3.0,2.0
0.778517385392,0.78657902555,4.0,2.0
0.758590714841,0.767216280452,5.0,2.0
0.761564685315,0.769191919192,6.0,2.0
0.794540598291,0.799925727867,7.0,2.0
0.796605477855,0.799160724896,8.0,2.0
0.776310703186,0.781417112299,9.0,2.0
0.773956876457,0.777777777778,10.0,2.0
0.780966394716,0.784343434343,11.0,2.0
0.778359071484,0.784915329768,12.0,2.0
0.782137723388,0.778787878788,3.0,5.0
0.787348970474,0.78440285205,4.0,5.0
0.759463869464,0.762953060012,5.0,5.0
0.783652874903,0.783726975639,6.0,5.0
0.771752136752,0.770224301842,7.0,5.0
0.784692599068,0.786452762923,8.0,5.0
0.766660353535,0.769392453951,9.0,5.0
0.778727661228,0.785739750446,10.0,5.0
0.771929390054,0.773351158645,11.0,5.0
0.753316822067,0.758489304813,12.0,5.0
0.793885003885,0.790515448604,3.0,10.0
0.761184440559,0.768486333928,4.0,10.0
0.798862665113,0.799264705882,5.0,10.0
0.776605477855,0.777235591206,6.0,10.0
0.783212898213,0.782479203803,7.0,10.0
0.773073523699,0.769058229352,8.0,10.0
0.786537004662,0.778305109923,9.0,10.0
0.779045745921,0.777213309566,10.0,10.0
0.782087703963,0.778624480095,11.0,10.0
0.782778263403,0.782761437908,12.0,10.0
0.773958333333,0.778810160428,3.0,15.0
0.761415112665,0.764096850862,4.0,15.0
0.746370449836,0.749442959002,5.0,15.0
0.816598193473,0.8123885918,6.0,15.0
0.781169386169,0.775727866904,7.0,15.0
0.788785936286,0.786645870469,8.0,15.0
0.773638791764,0.775765002971,9.0,15.0
0.7798246892,0.785071301248,10.0,15.0
0.752862762238,0.756483957219,11.0,15.0
0.802898698524,0.805956625074,12.0,15.0
